run	read	path
VMA18	R2	rawdata/WAR4048A1_67/VMA18_S67_L002_R2_001.fastq.gz
VMA18	R1	rawdata/WAR4048A1_67/VMA18_S67_L001_R1_001.fastq.gz
VMA18	R2	rawdata/WAR4048A1_67/VMA18_S67_L001_R2_001.fastq.gz
VMA18	R1	rawdata/WAR4048A1_67/VMA18_S67_L002_R1_001.fastq.gz
J397	R1	rawdata/WAR4048A1_128/J397_S128_L002_R1_001.fastq.gz
J397	R1	rawdata/WAR4048A1_128/J397_S128_L001_R1_001.fastq.gz
J397	R2	rawdata/WAR4048A1_128/J397_S128_L001_R2_001.fastq.gz
J397	R2	rawdata/WAR4048A1_128/J397_S128_L002_R2_001.fastq.gz
J386i	R2	rawdata/WAR4048A1_417/J386i_S417_L002_R2_001.fastq.gz
J386i	R1	rawdata/WAR4048A1_417/J386i_S417_L002_R1_001.fastq.gz
J386i	R1	rawdata/WAR4048A1_417/J386i_S417_L001_R1_001.fastq.gz
J386i	R2	rawdata/WAR4048A1_417/J386i_S417_L001_R2_001.fastq.gz
J355c	R2	rawdata/WAR4048A1_186/J355c_S186_L001_R2_001.fastq.gz
J355c	R2	rawdata/WAR4048A1_186/J355c_S186_L002_R2_001.fastq.gz
J355c	R1	rawdata/WAR4048A1_186/J355c_S186_L001_R1_001.fastq.gz
J355c	R1	rawdata/WAR4048A1_186/J355c_S186_L002_R1_001.fastq.gz
J426b	R2	rawdata/WAR4048A1_367/J426b_S367_L002_R2_001.fastq.gz
J426b	R1	rawdata/WAR4048A1_367/J426b_S367_L001_R1_001.fastq.gz
J426b	R2	rawdata/WAR4048A1_367/J426b_S367_L001_R2_001.fastq.gz
J426b	R1	rawdata/WAR4048A1_367/J426b_S367_L002_R1_001.fastq.gz
J381	R2	rawdata/WAR4048A1_83/J381_S83_L001_R2_001.fastq.gz
J381	R2	rawdata/WAR4048A1_83/J381_S83_L002_R2_001.fastq.gz
J381	R1	rawdata/WAR4048A1_83/J381_S83_L002_R1_001.fastq.gz
J381	R1	rawdata/WAR4048A1_83/J381_S83_L001_R1_001.fastq.gz
blank_62	R1	rawdata/WAR4048A1_528/blank_62_S528_L001_R1_001.fastq.gz
blank_62	R2	rawdata/WAR4048A1_528/blank_62_S528_L002_R2_001.fastq.gz
blank_62	R2	rawdata/WAR4048A1_528/blank_62_S528_L001_R2_001.fastq.gz
blank_62	R1	rawdata/WAR4048A1_528/blank_62_S528_L002_R1_001.fastq.gz
J296	R1	rawdata/WAR4048A1_50/J296_S50_L002_R1_001.fastq.gz
J296	R2	rawdata/WAR4048A1_50/J296_S50_L002_R2_001.fastq.gz
J296	R2	rawdata/WAR4048A1_50/J296_S50_L001_R2_001.fastq.gz
J296	R1	rawdata/WAR4048A1_50/J296_S50_L001_R1_001.fastq.gz
J382e	R1	rawdata/WAR4048A1_184/J382e_S184_L002_R1_001.fastq.gz
