ID,Sub-IDs,Total # samples,Tag #,Species,Date,Notes,Latitude,Longitude,Datum,State,Location,Altitude,Geology,Soil,Aspect,Collector,Abundance,Buds,Flowers,Fruit,Photos
J362,A-I,10,47,Eucalyptus sideroxylon,22/11/2015,,-33.42108,148.51126,WGS84,NSW,"Nangar Natl Park, Dripping Rock Rd.",521,,,N,J.Janes,Common,,,Present,J362
J363,B-D,4,48,Eucalyptus microcarpa,22/11/2015,,-33.41328,148.22136,WGS84,NSW,"Eugowra, Escort Way",260,,,,J.Janes,Common,,,Present,J363
J364,,,49,Eucalyptus conica,22/11/2015,,-33.41328,148.22136,WGS84,NSW,"Eugowra, Escort Way",260,,,,J.Janes,Common,,,Present,J364
J364 - Recollect,,1,49,Eucalyptus conica,30/11/2016,,-33.41328,148.22136,WGS84,NSW,"Eugowra, Escort Way",260,,,,"J.Janes, T.Collins",Common,,,Present,J364
J365,A-D,5,50,Eucalyptus melliodora,22/11/2015,,-33.31832,148.97163,WGS84,NSW,"Glenwood State Forest, Cargo Rd.",887,Granite,clay-sand,E,J.Janes,Common,Present,,Present,J365
J366,A-D,5,51,Eucalyptus fibrosa,22/11/2015,,-33.12436,150.01617,WGS84,NSW,"Gardens of Stone Natl Park, Glen Davis Rd.",732,Granite,sandy rock,NE,J.Janes,Common,Present,,Present,J366
J367,A-I,10,52,Eucalyptus sideroxylon,15/12/2015,,-30.5285,151.15897,WGS84,NSW,"Uralla-Kingstown Rd, Kingstown",791,Granite,sand-gravel,W,J.Janes,Common,,Present,Present,J367
J367g,,,,Eucalyptus sideroxylon,15/12/2015,,-30.5285,151.15897,WGS84,NSW,"Uralla-Kingstown Rd, Kingstown",791,Granite,sand-gravel,W,J.Janes,Common,,Present,Present,J367G
J367i,,,53,Eucalyptus sideroxylon x moluccana,15/12/2015,,-30.52474,151.15401,WGS84,NSW,"Uralla-Kingstown Rd, Kingstown",787,Granite,sand-gravel,W,J.Janes,Rare,,Present,Present,J367I
J368,A,2,54,Eucalyptus caleyi,15/12/2015,,-30.57301,151.09172,WGS84,NSW,"Kingstwon-Retreat Rd, Kingstown",827,Granite,sand-clay,W,J.Janes,Common (most on private land),,,Present,J368
J369,A-D,5,55,Eucalyptus caleyi,15/12/2015,,-30.07144,151.09796,WGS84,NSW,"Thunderbolts Way, Bundarra",815,Granite,sand-clay,W,J.Janes,Common,,,Present,J369
J369a,,,,Eucalyptus caleyi,15/12/2015,,-30.07144,151.09796,WGS84,NSW,"Thunderbolts Way, Bundarra",815,Granite,sand-clay,W,J.Janes,Common,,,Present,J369A
J370,A-D,5,56,Eucalyptus fibrosa,20/01/2016,,-32.62925,151.87758,WGS84,NSW,"Bucketts Way, Stroud Road",24,Granite,clay-loam,SW,J.Janes,Common,,,Present,J370
J371,A-D,5,57,Eucalyptus fibrosa,20/01/2016,,-32.23292,151.93147,WGS84,NSW,"Bucketts Way, Wards River",80,Granite,sand-loam,NW,J.Janes,Common,,,Present,J371
J372,A-D,5,58,Eucalyptus polyanthemos,24/01/2016,,-37.60536,146.64015,,VIC,"Licola, Tamboritha Rd",234,Granite,sand-loam,NW,J.Janes,Common,Present,,Present,J372
J373,A-D,5,59,Eucalyptus melliodora,24/01/2016,,-37.46662,147.83218,,VIC,Doctors Flat,176,Sandstone,sand-gravel,E,J.Janes,Common,,,Present,J373
J374,A-I,10,60,Eucalyptus albens,24/01/2016,,-37.36159,147.85228,,VIC,Ensay,286,Granite,sand,NW,J.Janes,Common,Present,,Present,J374
J375,A-D,5,61,Eucalyptus melliodora,25/01/2016,,-37.40165,148.21443,,VIC,Buchan,246,Granite,sand-loam,NW,J.Janes,Common,,,Present,J375
J376,A-I,10,62,Eucalyptus albens,25/01/2016,,-37.07782,148.34419,,VIC,McKillop Bridge,689,Granite,rock-loam,SE,J.Janes,Common,Present,,Present,J376
J377,A-I,10,63,Eucalyptus albens,25/01/2016,,-36.96985,148.30525,,VIC,Suggan Buggan,589,Granite,rock-loam,W,J.Janes,Common,,,Present,J377
J378,A-D,5,64,Eucalyptus melliodora,25/01/2016,,-36.88718,148.42012,,VIC/NSW,Kosciousko NP,256,Granite,sand-loam,E,J.Janes,Common,Present,,Present,J378
J379,A-D,5,65,Eucalyptus polyanthemos (?),26/01/2016,,-36.94525,149.4919,,NSW,Bombala,287,Granite,sand,SE,J.Janes,Common,,,Present,J379
J380,A-D,5,66,Eucalyptus polyanthemos,26/01/2016,,-37.11934,149.65784,,NSW,Pericoe,263,Granite,sand-rock,S ,J.Janes,Common,Present,,Present,J380
J381,A-D,5,67,Eucalyptus polyanthemos,27/01/2016,,-37.3619,149.66098,,VIC,Bruthen,99,,gravel-sand,E,J.Janes,Common,Present,,,J381
J382,A-I,10,68,Eucalyptus albens,27/01/2016,,-37.21575,147.71677,,VIC,Swifts Creek,327,,gravel-sand,SE,J.Janes,Common,Present,,Present,J382
J383,A-D,5,69,Eucalyptus polyanthemos (?),27/01/2016,,-36.31995,146.84286,,VIC,Yambuck,366,,gravel ,,J.Janes,Common,Present,,Present,J383
J384,A-D,5,70,Eucalyptus polyanthemos,29/01/2016,,-36.16765,146.64908,,VIC,Chiltern,287,Granite,sand-clay,NW,J.Janes,Common,Present,,Present,J384
J385,A-I,10,71,Eucalyptus sideroxylon,29/01/2016,,-36.17434,146.66263,,VIC,Chiltern,239,Granite,sand-clay,NW,J.Janes,Common,Present,,Present,J385
J386,A-I,10,72,Eucalyptus albens,29/01/2016,,-36.14425,146.65103,,VIC,Chiltern,245,Granite,clay-loam,NW,J.Janes,Rare,Present,,Present,J386
J387,A-I,10,73,Eucalyptus sideroxylon,29/01/2016,,-32.24456,146.18248,,VIC,Warrangatta,233,Granite,gravel-sand,,J.Janes,Common,Present,,Present,J387
J388,A-I,10,74,Eucalyptus albens,29/01/2016,,-36.26528,146.15425,,VIC,Warrangatta,268,Granite,gravel-sand,,J.Janes,Common,,,Present,J388
J389,A-D,5,75,Eucalyptus polyanthemos,29/01/2016,,-36.60631,145.92644,,VIC,Reef Road State Park,205,Sandstone,clay-loam,S,J.Janes,Common,Present,,Present,J389
J390,A-I,10,76,Eucalyptus albens,29/01/2016,,-36.5877,145.96066,,VIC,Reef Road State Park,187,Sandstone,clay-loam,,J.Janes,Rare,Present,,Present,J390
J391,A-D,5,77,Eucalyptus melliodora (?),30/1/016,,-37.21685,145.73489,,VIC,Alexandra,215,Granite,rock-loam,E,J.Janes,Common,,,Present,J391
J392,,1,78,Eucalyptus tricarpa,30/01/2016,,-37.00641,145.00121,,VIC,Puckapanyl,214,,,,J.Janes,Common,,,Present,J392
J393,A-I,10,79,Eucalyptus albens,30/01/2016,,-36.93458,144.74492,,VIC,Heathcote,258,Granite,sand-clay,E,J.Janes,Common,Present,,Present,J393
J394,A-I,10,80,Eucalyptus albens (?),30/01/2016,,-36.84715,144.52614,,VIC,Lake Eppalock,205,Granite,gravel-clay,W,J.Janes,Rare,Present,,Present,J394
J395,,1,81,Eucalyptus albens x microcarpa,31/01/2016,,-36.76884,144.07336,,VIC,"Powers Rd, Woodstock on Loddon",204,Granite,,,J.Janes,Common,Present,,Present,J395
J396,,1,82,Eucalyptus odorata (?),31/01/2016,,-36.81995,143.2767,,VIC,"Teddington Rd, Stuart Mill",293,,,,J.Janes,Rare,,,Present,J396
J397,A-D,5,83,Eucalyptus leucoxylon,1/02/2016,,-37.28408,141.18732,,VIC,Dergholm State Park,118,Sandstone,sand,,J.Janes,Common,Present,,Present,J397
J398,A-D,5,84,Eucalyptus leucoxylon,2/02/2016,,-37.22194,142.04807,,VIC,"Cherrypool, Rockland Reservoir",225,Sandstone,sand-loam,NE,J.Janes,Common,Present,,Present,J398
J399,A-D,5,85,Eucalyptus leucoxylon,3/01/2016,,-37.1632,144.08661,,VIC,Castlemaine,259,Sandstone,sand-clay,N,J.Janes,Common,Present,,Present,J399
J400,A-D,5,86,Eucalyptus moluccana,5/04/2016,,-30.44375,151.25961,,NSW,"Torreyburn Rd, Yarrowyck",799,granite,rocky-loam,,J.Janes,Common,Present,,Present,J400
J401,A-I,10,87,Eucalyptus sideroxylon,5/04/2016,,-30.44023,151.25069,,NSW,"Torreyburn Rd, Yarrowyck",747,granite,rocky-loam,,J.Janes,Common,Present,,,J401
J401f,,,88,Eucalyptus sideroxylon,5/04/2016,,-30.44089,151.25194,,NSW,"Torreyburn Rd, Yarrowyck",747,granite,rocky-loam,,J.Janes,Common,,,Present,J401F
J402,A-D,5,89,Eucalyptus caleyi,5/04/2016,,-30.04322,150.94122,,NSW,"Bundarra Rd, Copeton",739,granite,sand-loam,,J.Janes,Rare,Present,Present,Present,J402
J403,A-D,5,90,Eucalyptus caleyi,5/04/2016,,-29.92441,150.93559,,NSW,Copeton Dam Rd,626,granite,sand,,J.Janes,Rare,Present,,Present,J403
J404,A-D,5,91,Eucalyptus caleyi,5/04/2016,,-29.98952,150.85857,,NSW,Copeton Dam Rd,619,granite,sand,,J.Janes,Rare,Present,,Present,J404
J405,A-I,10,92,Eucalyptus sideroxylon,5/04/2016,,-30.22862,151.23865,,NSW,Baldersleigh Rd,741,granite,gravel-sand,,J.Janes,Common,Present,,Present,J405
J406,A-I,10,93,Eucalyptus albens,5/04/2016,,-30.23707,151.252,,NSW,"Baldersleigh Rd, The Basin",775,granite,gravel-sand,,J.Janes,Common,Present,,Present,J406
J407,A-C,4,94,Eucalyptus fibrosa,6/04/2016,,-30.05045,152.63814,,NSW,Nymboidea,643,granite,gravel-loam,W,J.Janes,Common,,,Present,J407
J408,,1,95,Eucalyptus crebra,6/04/2016,,-29.92432,152.75188,,NSW,Nymboidea,119,granite,sand-loam,NE,J.Janes,Rare,,,,J408
J409,,1,96,Eucalyptus fibrosa,6/04/2016,,-29.92485,152.75122,,NSW,Nymboidea,115,granite,sand-loam,NE,J.Janes,Rare,,,Present,J409
