Collection,Tree,,,,,,hddd.dddd,,ddd mm ss,,,,,,,,,,,,,,,,,,,,,,
ID,Sub-IDs,Total # samples,Tag #,Species,Date,Notes,Latitude,Longitude,Latitude,Longitude,Datum,State,Location,Altitude (m),Geology,Soil,Aspect,Collector,Abundance,Buds,Flowers,Fruit,Photos,Associated species,Associated species,Associated species,Associated species,Associated species,Associated species,Associated species,Associated species
J355b,,,,Hybrid? Sider x micro,2015-11-21,,-36.08961,146.62105,"-36°05'22.5960""","146°37'15.7800""",WGS84,VIC,"Chiltern, Chiltern-Howlong Rd.",196,,gravel-sand,S,J.Janes,Common,,,Present,J355B,Bayeria viscosa,Helichrysum viscosum,Acacia sp.,,,,,
J356,A-D,5,041,Eucalyptus microcarpa (?),2015-11-21,,-36.09272,146.61929,"-36°05'33.7920""","146°37'09.4440""",WGS84,VIC,"Chiltern, Chiltern-Howlong Rd.",194,,gravel-sand,S,J.Janes,Common,,,Present,J356,,,,,,,,
J357,A-D,5,042,Eucalyptus melliodora,2015-11-21,,-36.01900,146.29446,"-36°01'08.4000""","146°17'40.0560""",WGS84,NSW,"Collendina State Forest, Spring Dr.",140,Granite,red sand,W,J.Janes,Common,Present,Present,Present,J357,E. microcarpa,grassland,red gum,Stipa platychaeta,,,,
J358,A-D,5,043,Eucalyptus melliodora,2015-11-21,,-35.38973,146.35303,"-35°23'23.0280""","146°21'10.9080""",WGS84,NSW,"Urana, Walbundrie Rd.",138,Granite,clay-sand,0,J.Janes,Common,,,Present,J358,Grasses,Stipa,Vulpia bromoides,Convolvulus erubescens,Helichrysum bracteatum,,,
J359,A-I,10,044,Eucalyptus sideroxylon,2015-11-21,,-34.47594,147.40941,"-34°28'33.3840""","147°24'33.8760""",WGS84,NSW,"Ingalba Nature Reserve, Hwy 94",327,Granite/Basalt,clay-loam,0,J.Janes,Common,,,Present,J359,E. microcarpa,Acacia,Dianella,Callitris sp,,,,
J360,A-D,5,045,Eucalyptus conica,2015-11-21,,-34.01205,148.12904,"-34°00'43.3800""","148°07'44.5440""",WGS84,NSW,"Orange, Old Forbes Rd.",322,Granite,Fine sand w rock,0,J.Janes,Rare,,,Present,J360,E. microcarpa,Yellow paper daisy,Callitris sp,,,,,
J361,A-I,10,046,Eucalyptus albens,2015-11-22,,-33.42118,148.51154,"-33°25'16.2480""","148°30'41.5440""",WGS84,NSW,"Nangar Natl Park, Dripping Rock Rd.",525,,,N,J.Janes,Common,,,Present,J361,moss,Yellow paper daisy,Callitris sp,Stipa,Danthonia,,,
J362,A-I,10,047,Eucalyptus sideroxylon,2015-11-22,,-33.42108,148.51126,"-33°25'15.8880""","148°30'40.5360""",WGS84,NSW,"Nangar Natl Park, Dripping Rock Rd.",521,,,N,J.Janes,Common,,,Present,J362,moss,Yellow paper daisy,Callitris sp,Stipa,Danthonia,,,
J363,B-D,4,048,Eucalyptus microcarpa,2015-11-22,,-33.41328,148.22136,"-33°24'47.8080""","148°13'16.8960""",WGS84,NSW,"Eugowra, Escort Way",260,,,,J.Janes,Common,,,Present,J363,Acacia,callitris,Fringe lilly,E. conica,,,,
J364,,,049,Eucalyptus conica,2015-11-22,,-33.41328,148.22136,"-33°24'47.8080""","148°13'16.8960""",WGS84,NSW,"Eugowra, Escort Way",260,,,,J.Janes,Common,,,Present,J364,Acacia,callitris,Fringe lilly,E. microcarpa,,,,
J365,A-D,5,050,Eucalyptus melliodora,2015-11-22,,-33.31832,148.97163,"-33°19'05.9520""","148°58'17.8680""",WGS84,NSW,"Glenwood State Forest, Cargo Rd.",887,Granite,clay-sand,E,J.Janes,Common,Present,,Present,J365,Pinus radiata,,,,,,,
J366,A-D,5,051,Eucalyptus fibrosa,2015-11-22,,-33.12436,150.01617,"-33°07'27.6960""","150°00'58.2120""",WGS84,NSW,"Gardens of Stone Natl Park, Glen Davis Rd.",732,Granite,sandy rock,NE,J.Janes,Common,Present,,Present,J366,E. sideroxylon,Acacia,Dianella,E. stellulata,,,,
J367,A-I,10,052,Eucalyptus sideroxylon,2015-12-15,,-30.52850,151.15897,"-30°31'42.6000""","151°09'32.2920""",WGS84,NSW,"Uralla-Kingstown Rd, Kingstown",791,Granite,sand-gravel,W,J.Janes,Common,,Present,Present,J367,Themeda sp,Eucalyptus moluccana,Davesia sp,Dianella sp,Callitris columellaris,,,
J367G,,,,Eucalyptus sideroxylon,2015-12-15,,-30.52850,151.15897,"-30°31'42.6000""","151°09'32.2920""",WGS84,NSW,"Uralla-Kingstown Rd, Kingstown",791,Granite,sand-gravel,W,J.Janes,Common,,Present,Present,J367G,Themeda sp,Eucalyptus moluccana,Davesia sp,Dianella sp,Callitris columellaris,,,
