"sample.id","site.id","other.ids","total.num.samples","tag.num","species","species.notes","date","notes","latitude","longitude","datum","state","location","altitude","geology","soil","aspect","collector","abundance","buds","flowers","fruit","photos","associated.species"
"J320a","J320",,6,8,"moluccana","Eucalyptus moluccana","2015-10-11",,-31.72257,151.10243,"WGS84","NSW","Timor, Crawney Rd",486,"Mudstone","clay-sand","W","J.Janes","Common",,,"Present","J320","Roadside;;;;;;;;"
"J320b","J320",,6,8,"moluccana","Eucalyptus moluccana","2015-10-11",,-31.72257,151.10243,"WGS84","NSW","Timor, Crawney Rd",486,"Mudstone","clay-sand","W","J.Janes","Common",,,"Present","J320","Roadside;;;;;;;;"
"J320c","J320",,6,8,"moluccana","Eucalyptus moluccana","2015-10-11",,-31.72257,151.10243,"WGS84","NSW","Timor, Crawney Rd",486,"Mudstone","clay-sand","W","J.Janes","Common",,,"Present","J320","Roadside;;;;;;;;"
"J320d","J320",,6,8,"moluccana","Eucalyptus moluccana","2015-10-11",,-31.72257,151.10243,"WGS84","NSW","Timor, Crawney Rd",486,"Mudstone","clay-sand","W","J.Janes","Common",,,"Present","J320","Roadside;;;;;;;;"
"J321b","J321",,7,9,"crebra","Eucalyptus crebra","2015-10-12","Used J321G in sequencing",-32.75326,151.25224,"WGS84","NSW","Polkobin, Broke Rd",109,"Mudstone","clay ",,"J.Janes","Common",,,,"J321","Corymbia sp;Allocasuarina sp;Pultonaea sp;Busaria spinosa;Acacia sp;;;;"
"J321c","J321",,7,9,"crebra","Eucalyptus crebra","2015-10-12","Used J321G in sequencing",-32.75326,151.25224,"WGS84","NSW","Polkobin, Broke Rd",109,"Mudstone","clay ",,"J.Janes","Common",,,,"J321","Corymbia sp;Allocasuarina sp;Pultonaea sp;Busaria spinosa;Acacia sp;;;;"
"J321d","J321",,7,9,"crebra","Eucalyptus crebra","2015-10-12","Used J321G in sequencing",-32.75326,151.25224,"WGS84","NSW","Polkobin, Broke Rd",109,"Mudstone","clay ",,"J.Janes","Common",,,,"J321","Corymbia sp;Allocasuarina sp;Pultonaea sp;Busaria spinosa;Acacia sp;;;;"
"J321e","J321",,7,9,"crebra","Eucalyptus crebra","2015-10-12","Used J321G in sequencing",-32.75326,151.25224,"WGS84","NSW","Polkobin, Broke Rd",109,"Mudstone","clay ",,"J.Janes","Common",,,,"J321","Corymbia sp;Allocasuarina sp;Pultonaea sp;Busaria spinosa;Acacia sp;;;;"
"J321f","J321",,7,9,"crebra","Eucalyptus crebra","2015-10-12","Used J321G in sequencing",-32.75326,151.25224,"WGS84","NSW","Polkobin, Broke Rd",109,"Mudstone","clay ",,"J.Janes","Common",,,,"J321","Corymbia sp;Allocasuarina sp;Pultonaea sp;Busaria spinosa;Acacia sp;;;;"
"J322a","J322",,6,10,"fibrosa","Eucalyptus fibrosa","2015-10-12",,-32.75342,151.25269,"WGS84","NSW","Polkobin, Broke Rd",110,"Mudstone","clay ",,"J.Janes","Common",,,,"J322","Corymbia sp;Allocasuarina sp;Pultonaea sp;Busaria spinosa;Acacia sp;;;;"
"J322b","J322",,6,10,"fibrosa","Eucalyptus fibrosa","2015-10-12",,-32.75342,151.25269,"WGS84","NSW","Polkobin, Broke Rd",110,"Mudstone","clay ",,"J.Janes","Common",,,,"J322","Corymbia sp;Allocasuarina sp;Pultonaea sp;Busaria spinosa;Acacia sp;;;;"
"J322c","J322",,6,10,"fibrosa","Eucalyptus fibrosa","2015-10-12",,-32.75342,151.25269,"WGS84","NSW","Polkobin, Broke Rd",110,"Mudstone","clay ",,"J.Janes","Common",,,,"J322","Corymbia sp;Allocasuarina sp;Pultonaea sp;Busaria spinosa;Acacia sp;;;;"
"J322d","J322",,6,10,"fibrosa","Eucalyptus fibrosa","2015-10-12",,-32.75342,151.25269,"WGS84","NSW","Polkobin, Broke Rd",110,"Mudstone","clay ",,"J.Janes","Common",,,,"J322","Corymbia sp;Allocasuarina sp;Pultonaea sp;Busaria spinosa;Acacia sp;;;;"
"J323A","J323",,2,11,"largiflorens","Eucalyptus largiflorens (?)","2015-10-12",,-32.40498,150.36256,"WGS84","NSW","Wollomi NP, Bylong Valley Way",117,"Granite","loam-sand","W","J.Janes","Rare","Present",,,"J323","Ghania sp;Acacia sp;Callitris sp;Epacris sp;Bursaria spinosa;Oxalus;;;"
"J324a","J324",,6,12,"conica","Eucalyptus conica","2015-10-12",,-32.44442,150.2812,"WGS84","NSW","Wollomi NP, Bylong Valley Way",213,"Granite","loam-sand","E","J.Janes","Common",,,,"J324",";;;;;;;;"
"J324b","J324",,6,12,"conica","Eucalyptus conica","2015-10-12",,-32.44442,150.2812,"WGS84","NSW","Wollomi NP, Bylong Valley Way",213,"Granite","loam-sand","E","J.Janes","Common",,,,"J324",";;;;;;;;"
"J324c","J324",,6,12,"conica","Eucalyptus conica","2015-10-12",,-32.44442,150.2812,"WGS84","NSW","Wollomi NP, Bylong Valley Way",213,"Granite","loam-sand","E","J.Janes","Common",,,,"J324",";;;;;;;;"
"J324d","J324",,6,12,"conica","Eucalyptus conica","2015-10-12",,-32.44442,150.2812,"WGS84","NSW","Wollomi NP, Bylong Valley Way",213,"Granite","loam-sand","E","J.Janes","Common",,,,"J324",";;;;;;;;"
"J325","J325",,"NA","NA","baueriana","Eucalyptus baueriana","2015-10-12","Gave this sample to Tim at request of Rose therefore never entered in herbarium as we do not have a voucher",-32.49536,150.90842,"WGS84","NSW","Jerrys Plains, Golden Hwy",110,"Basalt/Mudstone","clay-loam","N","J.Janes","Rare",,,,"J325","Roadside;;;;;;;;"
"J326a","J326",,5,13,"moluccana","Eucalyptus moluccana","2015-11-03","Apparently missing from herbarium",-28.21744,152.84309,"WGS84","QLD","Rathdowney, Boonah Rathdowney Rd",103,"Mudstone","clay-loam",,"J.Janes","Common",,"Present","Present","J326","Acacia verniciflua;Roadside;;;;;;;"
