libname	sid	pair	lane	runname	path
J424g	S500	R2	L002	plate1-6.0	reads/plate1-6.0/J424g_S500_L002_R2.fastq.gz
J424g	S500	R2	L004	plate1-6.0	reads/plate1-6.0/J424g_S500_L004_R2.fastq.gz
J394g	S357	R2	L004	plate1-6.0	reads/plate1-6.0/J394g_S357_L004_R2.fastq.gz
J394g	S357	R1	L002	plate1-6.0	reads/plate1-6.0/J394g_S357_L002_R1.fastq.gz
J394g	S357	R1	L003	plate1-6.0	reads/plate1-6.0/J394g_S357_L003_R1.fastq.gz
J394g	S357	R1	L001	plate1-6.0	reads/plate1-6.0/J394g_S357_L001_R1.fastq.gz
J394g	S357	R1	L004	plate1-6.0	reads/plate1-6.0/J394g_S357_L004_R1.fastq.gz
J394g	S357	R2	L001	plate1-6.0	reads/plate1-6.0/J394g_S357_L001_R2.fastq.gz
J394g	S357	R2	L003	plate1-6.0	reads/plate1-6.0/J394g_S357_L003_R2.fastq.gz
J394g	S357	R2	L002	plate1-6.0	reads/plate1-6.0/J394g_S357_L002_R2.fastq.gz
J362_young	S41	R2	L001	plate1-6.0	reads/plate1-6.0/J362_young_S41_L001_R2.fastq.gz
J362_young	S41	R1	L002	plate1-6.0	reads/plate1-6.0/J362_young_S41_L002_R1.fastq.gz
J362_young	S41	R1	L001	plate1-6.0	reads/plate1-6.0/J362_young_S41_L001_R1.fastq.gz
J362_young	S41	R1	L003	plate1-6.0	reads/plate1-6.0/J362_young_S41_L003_R1.fastq.gz
J362_young	S41	R1	L004	plate1-6.0	reads/plate1-6.0/J362_young_S41_L004_R1.fastq.gz
J362_young	S41	R2	L004	plate1-6.0	reads/plate1-6.0/J362_young_S41_L004_R2.fastq.gz
J362_young	S41	R2	L003	plate1-6.0	reads/plate1-6.0/J362_young_S41_L003_R2.fastq.gz
J362_young	S41	R2	L002	plate1-6.0	reads/plate1-6.0/J362_young_S41_L002_R2.fastq.gz
VMA18	S67	R2	L004	plate1-6.0	reads/plate1-6.0/VMA18_S67_L004_R2.fastq.gz
VMA18	S67	R1	L003	plate1-6.0	reads/plate1-6.0/VMA18_S67_L003_R1.fastq.gz
VMA18	S67	R2	L002	plate1-6.0	reads/plate1-6.0/VMA18_S67_L002_R2.fastq.gz
VMA18	S67	R1	L004	plate1-6.0	reads/plate1-6.0/VMA18_S67_L004_R1.fastq.gz
