filename	reads	bases	perc_gc	non_acgt
reads/plate1-6.0/J307_S10_L003_R1.fastq.gz	19786	1481887	39.8	34
reads/plate1-6.0/J304_S181_L003_R2.fastq.gz	45240	3403098	40.1	277
reads/plate1-6.0/J304_S181_L002_R1.fastq.gz	46889	3529110	40.0	264
reads/plate1-6.0/J307_S10_L001_R1.fastq.gz	18411	1378299	40.0	31
reads/plate1-6.0/J310_S40_L001_R1.fastq.gz	10341	773110	40.1	43
reads/plate1-6.0/J307_S10_L002_R2.fastq.gz	20060	1502900	40.0	52
reads/plate1-6.0/J304_S181_L002_R2.fastq.gz	46889	3528124	40.1	323
reads/plate1-6.0/J307_S10_L002_R1.fastq.gz	20060	1502795	40.0	36
reads/plate1-6.0/J304_S181_L003_R1.fastq.gz	45240	3403977	40.1	207
reads/plate1-6.0/J307_S10_L004_R2.fastq.gz	21253	1591863	39.9	128
reads/plate1-6.0/J304_S181_L004_R1.fastq.gz	50315	3789148	40.1	88
reads/plate1-6.0/J310_S40_L001_R2.fastq.gz	10341	772532	39.9	53
reads/plate1-6.0/J304_S181_L004_R2.fastq.gz	50315	3789566	40.1	82
reads/plate1-6.0/J307_S10_L003_R2.fastq.gz	19786	1481760	40.0	27
reads/plate1-6.0/J307_S10_L004_R1.fastq.gz	21253	1591998	40.0	79
reads/plate1-6.0/J310_S40_L002_R1.fastq.gz	12970	971380	39.9	36
reads/plate1-6.0/J310_S40_L003_R1.fastq.gz	10680	798142	40.4	44
reads/plate1-6.0/J310_S40_L004_R1.fastq.gz	12311	922758	40.1	54
reads/plate1-6.0/J310_S40_L003_R2.fastq.gz	10680	797704	40.0	63
reads/plate1-6.0/J310_S40_L004_R2.fastq.gz	12311	922474	39.8	53
reads/plate1-6.0/J310_S40_L002_R2.fastq.gz	12970	971221	39.9	58
reads/plate1-6.0/J311_S27_L002_R2.fastq.gz	29698	2230903	39.6	41
reads/plate1-6.0/J311_S27_L001_R2.fastq.gz	27547	2067586	39.8	33
reads/plate1-6.0/J312_S189_L001_R1.fastq.gz	34918	2630098	39.8	75
reads/plate1-6.0/J311_S27_L003_R2.fastq.gz	29132	2187748	39.8	95
reads/plate1-6.0/J311_S27_L003_R1.fastq.gz	29132	2187140	39.7	40
reads/plate1-6.0/J311_S27_L004_R1.fastq.gz	31332	2353446	39.5	24
reads/plate1-6.0/J311_S27_L001_R1.fastq.gz	27547	2067462	39.6	34
reads/plate1-6.0/J312_S189_L001_R2.fastq.gz	34918	2630216	40.0	102
reads/plate1-6.0/J311_S27_L004_R2.fastq.gz	31332	2353845	39.5	42
reads/plate1-6.0/J312_S189_L002_R1.fastq.gz	40414	3045583	39.9	193
reads/plate1-6.0/J312_S189_L003_R1.fastq.gz	38019	2864369	40.1	152
reads/plate1-6.0/J315_S75_L002_R2.fastq.gz	19073	1428791	39.7	21
reads/plate1-6.0/J312_S189_L003_R2.fastq.gz	38019	2864563	40.2	200
reads/plate1-6.0/J315_S75_L001_R1.fastq.gz	17473	1308972	39.7	38
reads/plate1-6.0/J315_S75_L001_R2.fastq.gz	17473	1309223	39.9	39
reads/plate1-6.0/J312_S189_L004_R1.fastq.gz	42720	3220201	39.9	44
reads/plate1-6.0/J315_S75_L002_R1.fastq.gz	19073	1428630	39.9	31
reads/plate1-6.0/J312_S189_L004_R2.fastq.gz	42720	3220976	40.0	100
reads/plate1-6.0/J312_S189_L002_R2.fastq.gz	40414	3045601	40.1	204
reads/plate1-6.0/J315_S75_L004_R2.fastq.gz	20109	1508784	39.7	49
reads/plate1-6.0/J315_S75_L003_R2.fastq.gz	18717	1402569	39.8	61
reads/plate1-6.0/J315_S75_L003_R1.fastq.gz	18717	1402521	39.7	34
reads/plate1-6.0/J316_S34_L001_R2.fastq.gz	21701	1627376	40.0	73
reads/plate1-6.0/J315_S75_L004_R1.fastq.gz	20109	1508630	39.8	53
reads/plate1-6.0/J316_S34_L001_R1.fastq.gz	21701	1627426	40.0	49
reads/plate1-6.0/J316_S34_L003_R2.fastq.gz	23652	1775063	40.1	63
reads/plate1-6.0/J316_S34_L002_R2.fastq.gz	24060	1804613	40.1	62
reads/plate1-6.0/J316_S34_L002_R1.fastq.gz	24060	1804412	40.1	60
reads/plate1-6.0/J317_S11_L001_R1.fastq.gz	20651	1546012	39.4	87
reads/plate1-6.0/J317_S11_L001_R2.fastq.gz	20651	1546252	39.6	127
reads/plate1-6.0/J316_S34_L004_R1.fastq.gz	25396	1906052	40.1	36
reads/plate1-6.0/J316_S34_L003_R1.fastq.gz	23652	1774861	40.1	35
reads/plate1-6.0/J316_S34_L004_R2.fastq.gz	25396	1906350	39.9	92
reads/plate1-6.0/J317_S11_L002_R1.fastq.gz	22544	1689690	39.6	40
reads/plate1-6.0/J317_S11_L003_R1.fastq.gz	21987	1647825	39.8	43
reads/plate1-6.0/J317_S11_L004_R1.fastq.gz	23538	1765534	39.6	82
reads/plate1-6.0/J317_S11_L004_R2.fastq.gz	23538	1765756	39.6	75
reads/plate1-6.0/J317_S11_L002_R2.fastq.gz	22544	1690264	39.7	39
reads/plate1-6.0/J317_S11_L003_R2.fastq.gz	21987	1647923	39.8	174
reads/plate1-6.0/J318_S18_L002_R1.fastq.gz	31082	2336111	39.9	109
reads/plate1-6.0/J318_S18_L001_R1.fastq.gz	27511	2067950	40.0	22
reads/plate1-6.0/J318_S18_L001_R2.fastq.gz	27511	2067905	39.8	17
reads/plate1-6.0/J318_S18_L002_R2.fastq.gz	31082	2336395	40.0	114
reads/plate1-6.0/J319_S42_L001_R1.fastq.gz	21956	1646079	40.0	71
reads/plate1-6.0/J318_S18_L004_R2.fastq.gz	32557	2449169	39.9	57
