"library","run","run.lib","sample","seq.notes","Sequenced","Project1","Project2","Oxley"
"J393a","plate1-6.0","plate1-6.0~J393a","J393a",,"Y",,,
"J393b","plate1-6.0","plate1-6.0~J393b","J393b",,"Y",,,
"J393c","plate1-6.0","plate1-6.0~J393c","J393c",,"Y",,,
"J393d","plate1-6.0","plate1-6.0~J393d","J393d",,"Y",,,
"J393e","plate1-6.0","plate1-6.0~J393e","J393e",,"Y",,,
"J393f","plate1-6.0","plate1-6.0~J393f","J393f",,"Y",,,
"J393g","plate1-6.0","plate1-6.0~J393g","J393g",,"Y",,,
"J393h","plate1-6.0","plate1-6.0~J393h","J393h",,"Y",,,
"J393i","plate1-6.0","plate1-6.0~J393i","J393i",,"Y",,,
"J394","plate1-6.0","plate1-6.0~J394","J394",,"Y",,,
"J394a","plate1-6.0","plate1-6.0~J394a","J394a",,"Y",,,
"J394b","plate1-6.0","plate1-6.0~J394b","J394b",,"Y",,,
"J394c","plate1-6.0","plate1-6.0~J394c","J394c",,"Y",,,
"J394d","plate1-6.0","plate1-6.0~J394d","J394d",,"Y",,,
"J394e","plate1-6.0","plate1-6.0~J394e","J394e",,"Y",,,
"J394f","plate1-6.0","plate1-6.0~J394f","J394f",,"Y",,,
"J394g","plate1-6.0","plate1-6.0~J394g","J394g",,"Y",,,
"J395","plate1-6.0","plate1-6.0~J395","J395",,"Y",,,"Y"
"J395A","plate1-6.0","plate1-6.0~J395A","J395a",,"Y",,,"Y"
"J395B","plate1-6.0","plate1-6.0~J395B","J395b",,"Y",,,
"J395C","plate1-6.0","plate1-6.0~J395C","J395c",,"Y",,,
"J395D","plate1-6.0","plate1-6.0~J395D","J395d",,"Y",,,
"J395E","plate1-6.0","plate1-6.0~J395E","J395e",,"Y",,,
"J395H","plate1-6.0","plate1-6.0~J395H","J395h",,,,,"Y"
"J397","plate1-6.0","plate1-6.0~J397","J397",,,,,"Y"
"J398","plate1-6.0","plate1-6.0~J398","J398",,,,,"Y"
"J399","plate1-6.0","plate1-6.0~J399","J399",,,,,"Y"
"J400","plate1-6.0","plate1-6.0~J400","J400",,,,,"Y"
"J401","plate1-6.0","plate1-6.0~J401","J401",,"Y",,,
"J401a","plate1-6.0","plate1-6.0~J401a","J401a",,"Y",,,
"J401b","plate1-6.0","plate1-6.0~J401b","J401b",,"Y",,,
"J401c","plate1-6.0","plate1-6.0~J401c","J401c",,"Y",,,
"J401d","plate1-6.0","plate1-6.0~J401d","J401d",,"Y",,,
"J401e","plate1-6.0","plate1-6.0~J401e","J401e",,"Y",,,
"J401f","plate1-6.0","plate1-6.0~J401f","J401f",,"Y",,,
"J401g","plate1-6.0","plate1-6.0~J401g","J401g",,"Y",,,
"J401h","plate1-6.0","plate1-6.0~J401h","J401h",,"Y",,,
"J402","plate1-6.0","plate1-6.0~J402","J402",,,,,"Y"
"J403","plate1-6.0","plate1-6.0~J403","J403",,,,,"Y"
"J404","plate1-6.0","plate1-6.0~J404","J404",,,,,"Y"
"J405","plate1-6.0","plate1-6.0~J405","J405",,"Y",,,
"J405a","plate1-6.0","plate1-6.0~J405a","J405a",,"Y",,,
"J405b","plate1-6.0","plate1-6.0~J405b","J405b",,"Y",,,
"J405c","plate1-6.0","plate1-6.0~J405c","J405c",,"Y",,,
"J405d","plate1-6.0","plate1-6.0~J405d","J405d",,"Y",,,
