"libname","sample"
"ENE0015","ENE0015"
"ENE0023","ENE0023"
"ENE0024","ENE0024"
"ENE0026","ENE0026"
"ENE0028","ENE0028"
"ENE0030","ENE0030"
"ENE0031","ENE0031"
"ENE0032","ENE0032"
"ENE0033","ENE0033"
"ENE0034","ENE0034"
"ENE0036","ENE0036"
"ENE0038","ENE0038"
"ENE0040","ENE0040"
"ENE0042","ENE0042"
"ENE0044","ENE0044"
"TLC946","TLC946"
"TLC950","TLC950"
"TLC758","TLC758"
"TLC922-4","TLC922-4"
"TLC914","TLC914"
"TLC952-1","TLC952-1"
"TLC952-2","TLC952-2"
"TLC952-3","TLC952-3"
"TLC952-4","TLC952-4"
"TLC952-5","TLC952-5"
"J345b","J345b"
"J359f","J359f"
"J377f","J377f"
"J382","J382"
"J414d","J414d"
"J413d","J413d"
"J418d","J418d"
"J421a","J421a"
"J413e","J413e"
"J421c","J421c"
"J413g","J413g"
"J421d","J421d"
"J422i","J422i"
"J413h","J413h"
"J421f","J421f"
"J422b","J422b"
"J421g","J421g"
"J422d","J422d"
"J424h","J424h"
"J426e","J426e"
"J422h","J422h"
"J424i","J424i"
"J433i","J433i"
"J395a-rep","J395a"
"J413i","J413i"
"J421h","J421h"
"J421i","J421i"
"J421e","J421e"
"J418f","J418f"
"J413b","J413b"
"J401i","J401i"
"J345c","J345c"
"EB510","EB510"
"EB515","EB515"
"EB519","EB519"
"EB521","EB521"
"EB522","EB522"
"EB523","EB523"
"EB524","EB524"
"EB525","EB525"
"EB526","EB526"
"EB527","EB527"
"EB528","EB528"
"EB529","EB529"
"EB530","EB530"
"EB531","EB531"
"EB534","EB534"
"EB535","EB535"
"EB536","EB536"
"TLC724","TLC724"
"TLC732","TLC732"
"TLC734","TLC734"
"TLC738-1","TLC738-1"
"TLC739","TLC739"
"TLC750","TLC750"
"TLC757","TLC757"
"TLC760","TLC760"
"TLC761","TLC761"
"TLC764","TLC764"
"TLC807","TLC807"
"TLC827","TLC827"
"TLC830","TLC830"
"TLC831","TLC831"
"TLC908","TLC908"
"TLC909","TLC909"
"TLC915","TLC915"
"TLC922-1","TLC922-1"
"TLC922-2","TLC922-2"
"TLC922-3","TLC922-3"
"TLC922-5","TLC922-5"
"TLC947","TLC947"
"TLC948","TLC948"
"TLC949","TLC949"
"TLC953C","TLC953C"
"TLC953E","TLC953E"
"TLC963A","TLC963A"
"TLC963C","TLC963C"
