"library","run","Include","seq.notes"
"J355b","oxley.1","Y",
"J355b","plate1-6.0","Y",
"J355b","plate1-6.1","Y",
"J355b","plate1-6.2","Y",
"J355b-NextRAD","plate1.1","Y",
"J355b-WGS","plate1.1","Y",
"J355b-WGS","plate1.2","Y",
"J355c","plate1-6.0","Y",
"J355c","plate1-6.1","Y",
"J355c","plate1-6.2","Y",
"J355d","plate1-6.0","Y",
"J355d","plate1-6.1","Y",
"J355d","plate1-6.2","Y",
"J355e","plate1-6.0","Y",
"J355e","plate1-6.1","Y",
"J355e","plate1-6.2","Y",
"J355f","plate1-6.0","Y",
"J355f","plate1-6.1","Y",
"J355f","plate1-6.2","Y",
"J355g","plate1-6.0","Y",
"J355g","plate1-6.1","Y",
"J355g","plate1-6.2","Y",
"J357","plate1-6.0","Y",
"J357","plate1-6.1","Y",
"J357","plate1-6.2","Y",
"J357-NextRAD","plate1.1","Y",
"J357-WGS","plate1.1","Y",
"J357-WGS","plate1.2","Y",
"J358","plate1-6.0","Y",
"J358","plate1-6.1","Y",
"J358","plate1-6.2","Y",
"J358-NextRAD","plate1.1","Y",
"J358-WGS","plate1.1","Y",
"J358-WGS","plate1.2","Y",
"J359","plate1-6.0","Y",
"J359","plate1-6.1","Y",
"J359","plate1-6.2","Y",
"J359-NextRAD","plate1.1","Y",
"J359-WGS","plate1.1","Y",
"J359-WGS","plate1.2","Y",
"J359a","plate1-6.0","Y",
"J359a","plate1-6.1","Y",
"J359a","plate1-6.2","Y",
"J359b","plate1-6.0","Y",
"J359b","plate1-6.1","Y",
"J359b","plate1-6.2","Y",
"J359c","plate1-6.0","Y",
"J359c","plate1-6.1","Y",
"J359c","plate1-6.2","Y",
"J359d","plate1-6.0","Y",
"J359d","plate1-6.1","Y",
"J359d","plate1-6.2","Y",
"J359e","plate1-6.0","Y",
"J359e","plate1-6.1","Y",
"J359e","plate1-6.2","Y",
"J359f","oxley.1","Y",
"J359g","plate1-6.0","Y",
"J359g","plate1-6.1","Y",
"J359g","plate1-6.2","Y",
"J359h","plate1-6.0","Y",
"J359h","plate1-6.1","Y",
"J359h","plate1-6.2","Y",
"J359i","plate1-6.0","Y",
"J359i","plate1-6.1","Y",
"J359i","plate1-6.2","Y",
"J360","plate1-6.0","Y",
"J360","plate1-6.1","Y",
"J360","plate1-6.2","Y",
"J360-NextRAD","plate1.1","Y",
"J360-WGS","plate1.1","Y",
"J360-WGS","plate1.2","Y",
"J361","plate1-6.0","Y",
"J361","plate1-6.1","Y",
"J361","plate1-6.2","Y",
"J361-NextRAD","plate1.1","Y",
"J361-WGS","plate1.1","Y",
"J361-WGS","plate1.2","Y",
"J361a","plate1-6.0","Y",
"J361a","plate1-6.1","Y",
"J361a","plate1-6.2","Y",
"J361b","plate1-6.0","Y",
"J361b","plate1-6.1","Y",
"J361b","plate1-6.2","Y",
"J361c","plate1-6.0","Y",
"J361c","plate1-6.1","Y",
"J361c","plate1-6.2","Y",
"J361d","plate1-6.0","Y",
"J361d","plate1-6.1","Y",
"J361d","plate1-6.2","Y",
"J361e","plate1-6.0","Y",
"J361e","plate1-6.1","Y",
"J361e","plate1-6.2","Y",
"J361f","plate1-6.0","Y",
"J361f","plate1-6.1","Y",
"J361f","plate1-6.2","Y",
"J361g","plate1-6.0","Y",
"J361g","plate1-6.1","Y",
"J361g","plate1-6.2","Y",
"J361h","plate1-6.0","Y",
"J361h","plate1-6.1","Y",
"J361h","plate1-6.2","Y",
"J361i","plate1-6.0","Y",
"J361i","plate1-6.1","Y",
"J361i","plate1-6.2","Y",
"J362","plate1-6.0","Y",
"J362","plate1-6.1","Y",
"J362","plate1-6.2","Y",
"J362_young","plate1-6.0","Y",
"J362_young","plate1-6.1","Y",
"J362_young","plate1-6.2","Y",
"J362-young-NextRAD","plate1.1","Y",
"J362-young-WGS","plate1.1","Y",
"J362-young-WGS","plate1.2","Y",
"J362a","plate1-6.0","Y",
"J362a","plate1-6.1","Y",
"J362a","plate1-6.2","Y",
"J362b","plate1-6.0","Y",
"J362b","plate1-6.1","Y",
"J362b","plate1-6.2","Y",
"J363","plate1-6.0","Y",
"J363","plate1-6.1","Y",
"J363","plate1-6.2","Y",
"J363_plus","plate1-6.0","Y",
"J363_plus","plate1-6.1","Y",
"J363_plus","plate1-6.2","Y",
"J363-NextRAD","plate1.1","Y",
"J363-plus-NextRAD","plate1.1","Y",
"J363-plus-WGS","plate1.1","Y",
"J363-plus-WGS","plate1.2","Y",
"J363-WGS","plate1.1","Y",
"J363-WGS","plate1.2","Y",
"J364","plate1-6.0","Y",
"J364","plate1-6.1","Y",
"J364","plate1-6.2","Y",
"J364-NextRAD","plate1.1","Y",
"J364-WGS","plate1.1","Y",
"J364-WGS","plate1.2","Y",
"J365","plate1-6.0","Y",
"J365","plate1-6.1","Y",
"J365","plate1-6.2","Y",
"J365-NextRAD","plate1.1","Y",
"J365-WGS","plate1.1","Y",
"J365-WGS","plate1.2","Y",
"J366","plate1-6.0","Y",
"J366","plate1-6.1","Y",
"J366","plate1-6.2","Y",
"J366_plus","plate1-6.0","Y",
"J366_plus","plate1-6.1","Y",
"J366_plus","plate1-6.2","Y",
"J366-NextRAD","plate1.1","Y",
"J366-plus-NextRAD","plate1.1","Y",
"J366-plus-WGS","plate1.1","Y",
"J366-plus-WGS","plate1.2","Y",
"J366-WGS","plate1.1","Y",
"J366-WGS","plate1.2","Y",
"J367","plate1-6.0","Y",
"J367","plate1-6.1","Y",
"J367","plate1-6.2","Y",
"J367-NextRAD","plate1.1","Y",
"J367-WGS","plate1.1","Y",
"J367-WGS","plate1.2","Y",
"J367a","plate1-6.0","Y",
"J367a","plate1-6.1","Y",
"J367a","plate1-6.2","Y",
"J367b","plate1-6.0","Y",
"J367b","plate1-6.1","Y",
"J367b","plate1-6.2","Y",
"J367c","plate1-6.0","Y",
"J367c","plate1-6.1","Y",
"J367c","plate1-6.2","Y",
"J367d","plate1-6.0","Y",
"J367d","plate1-6.1","Y",
"J367d","plate1-6.2","Y",
"J367e","plate1-6.0","Y",
"J367e","plate1-6.1","Y",
"J367e","plate1-6.2","Y",
"J367f","plate1-6.0","Y",
"J367f","plate1-6.1","Y",
"J367f","plate1-6.2","Y",
"J367g","plate1-6.0","Y",
"J367g","plate1-6.1","Y",
"J367g","plate1-6.2","Y",
"J367h","plate1-6.0","Y",
"J367h","plate1-6.1","Y",
"J367h","plate1-6.2","Y",
"J367i","plate1-6.0","Y",
"J367i","plate1-6.1","Y",
"J367i","plate1-6.2","Y",
"J367i-NextRAD","plate1.1","Y",
"J367i-WGS","plate1.1","Y",
"J367i-WGS","plate1.2","Y",
"J368","plate1-6.0","Y",
"J368","plate1-6.1","Y",
"J368","plate1-6.2","Y",
"J368-NextRAD","plate1.1","Y",
"J368-WGS","plate1.1","Y",
"J368-WGS","plate1.2","Y",
"J369","plate1-6.0","Y",
"J369","plate1-6.1","Y",
"J369","plate1-6.2","Y",
"J369-NextRAD","plate1.1","Y",
"J369-WGS","plate1.1","Y",
"J369-WGS","plate1.2","Y",
"J370","plate1-6.0","Y",
"J370","plate1-6.1","Y",
"J370","plate1-6.2","Y",
"J370-NextRAD","plate1.1","Y",
"J370-WGS","plate1.1","Y",
"J370-WGS","plate1.2","Y",
"J371","plate1-6.0","Y",
"J371","plate1-6.1","Y",
"J371","plate1-6.2","Y",
"J371-NextRAD","plate1.1","Y",
"J371-WGS","plate1.1","Y",
"J371-WGS","plate1.2","Y",
"J372","plate1-6.0","Y",
"J372","plate1-6.1","Y",
"J372","plate1-6.2","Y",
"J372-NextRAD","plate1.1","Y",
"J372-WGS","plate1.1","Y",
"J372-WGS","plate1.2","Y",
"J373","plate1-6.0","Y",
"J373","plate1-6.1","Y",
"J373","plate1-6.2","Y",
"J373-NextRAD","plate1.1","Y",
"J373-WGS","plate1.1","Y",
"J373-WGS","plate1.2","Y",
"J374","plate1-6.0","Y",
"J374","plate1-6.1","Y",
"J374","plate1-6.2","Y",
"J374-NextRAD","plate1.1","Y",
"J374-WGS","plate1.1","Y",
"J374-WGS","plate1.2","Y",
"J374a","plate1-6.0","Y",
"J374a","plate1-6.1","Y",
"J374a","plate1-6.2","Y",
"J374b","plate1-6.0","Y",
"J374b","plate1-6.1","Y",
"J374b","plate1-6.2","Y",
"J374c","plate1-6.0","Y",
"J374c","plate1-6.1","Y",
"J374c","plate1-6.2","Y",
"J374d","plate1-6.0","Y",
"J374d","plate1-6.1","Y",
"J374d","plate1-6.2","Y",
"J374e","plate1-6.0","Y",
"J374e","plate1-6.1","Y",
"J374e","plate1-6.2","Y",
"J374f","plate1-6.0","Y",
"J374f","plate1-6.1","Y",
"J374f","plate1-6.2","Y",
"J374g","plate1-6.0","Y",
"J374g","plate1-6.1","Y",
"J374g","plate1-6.2","Y",
"J374h","plate1-6.0","Y",
"J374h","plate1-6.1","Y",
"J374h","plate1-6.2","Y",
"J374i","plate1-6.0","Y",
"J374i","plate1-6.1","Y",
"J374i","plate1-6.2","Y",
"J375","plate1-6.0","Y",
"J375","plate1-6.1","Y",
"J375","plate1-6.2","Y",
"J375-NextRAD","plate1.1","Y",
