filename	unique_kmers	kmersize
data/reads/qc/J382h.fastq.gz	593191537	31
data/reads/qc/J434.fastq.gz	495695069	31
data/reads/qc/J359a.fastq.gz	636922806	31
data/reads/qc/J435b.fastq.gz	473151338	31
data/reads/qc/J374e.fastq.gz	619420566	31
data/reads/qc/J376c.fastq.gz	593407636	31
data/reads/qc/J352c.fastq.gz	403245257	31
data/reads/qc/J428f.fastq.gz	393345219	31
data/reads/qc/J350b.fastq.gz	638482027	31
data/reads/qc/J434b.fastq.gz	687433221	31
data/reads/qc/J352a.fastq.gz	612694285	31
data/reads/qc/J419i.fastq.gz	543193562	31
data/reads/qc/J385i.fastq.gz	566630433	31
data/reads/qc/J390a.fastq.gz	402217847	31
data/reads/qc/J433d.fastq.gz	619889274	31
data/reads/qc/J387f.fastq.gz	505317022	31
data/reads/qc/J349i.fastq.gz	685096978	31
data/reads/qc/J341a.fastq.gz	639775230	31
data/reads/qc/J393g.fastq.gz	491661715	31
data/reads/qc/J352h.fastq.gz	17634155	31
data/reads/qc/J401f.fastq.gz	650814596	31
data/reads/qc/J430f.fastq.gz	419969448	31
data/reads/qc/J367e.fastq.gz	564287693	31
data/reads/qc/J349d.fastq.gz	620047877	31
data/reads/qc/FDK10.fastq.gz	270932317	31
data/reads/qc/J390a-rep.fastq.gz	364590211	31
data/reads/qc/VWG14.fastq.gz	214175796	31
data/reads/qc/J376i.fastq.gz	626902374	31
data/reads/qc/J362a.fastq.gz	663472599	31
data/reads/qc/J304.fastq.gz	617368889	31
data/reads/qc/J355a.fastq.gz	605208665	31
data/reads/qc/J429a.fastq.gz	737165322	31
data/reads/qc/J435a.fastq.gz	580560470	31
data/reads/qc/J385b.fastq.gz	544252198	31
data/reads/qc/J361a.fastq.gz	428298442	31
data/reads/qc/J426d.fastq.gz	414053983	31
data/reads/qc/J418a.fastq.gz	447742903	31
data/reads/qc/J352e.fastq.gz	589594790	31
data/reads/qc/J357.fastq.gz	648842119	31
data/reads/qc/J393d.fastq.gz	589678411	31
data/reads/qc/J344.fastq.gz	523099563	31
data/reads/qc/J382b.fastq.gz	610860990	31
data/reads/qc/NE36811.fastq.gz	16820852	31
data/reads/qc/RA1006.fastq.gz	852843616	31
data/reads/qc/J388i.fastq.gz	570064693	31
data/reads/qc/J393h.fastq.gz	625406103	31
data/reads/qc/J293.fastq.gz	692492552	31
data/reads/qc/blank_32.fastq.gz	15849118	31
data/reads/qc/J393b.fastq.gz	298381351	31
data/reads/qc/J377h.fastq.gz	522234730	31
data/reads/qc/J429f.fastq.gz	391697315	31
data/reads/qc/J388.fastq.gz	289674830	31
data/reads/qc/J387i.fastq.gz	455405618	31
data/reads/qc/J426g.fastq.gz	413969969	31
data/reads/qc/J416c.fastq.gz	231400440	31
data/reads/qc/J350g.fastq.gz	630705496	31
data/reads/qc/J363_plus.fastq.gz	640997019	31
data/reads/qc/J374f.fastq.gz	602654415	31
data/reads/qc/J401d.fastq.gz	531173772	31
data/reads/qc/J430d.fastq.gz	546038099	31
data/reads/qc/J367h.fastq.gz	693816470	31
data/reads/qc/J377b.fastq.gz	647466299	31
data/reads/qc/J390.fastq.gz	600667406	31
data/reads/qc/J353.fastq.gz	455026966	31
data/reads/qc/J425i.fastq.gz	656124580	31
data/reads/qc/J398.fastq.gz	432263235	31
data/reads/qc/J430g.fastq.gz	583024577	31
data/reads/qc/NAL05.fastq.gz	243041611	31
data/reads/qc/J382e.fastq.gz	602321683	31
data/reads/qc/J395A.fastq.gz	555103645	31
data/reads/qc/J376a-rep.fastq.gz	530187910	31
data/reads/qc/J433.fastq.gz	569174102	31
data/reads/qc/J375.fastq.gz	651210641	31
data/reads/qc/J387g.fastq.gz	569572637	31
data/reads/qc/J363.fastq.gz	908939742	31
data/reads/qc/J430b.fastq.gz	655919209	31
data/reads/qc/J387b.fastq.gz	634558530	31
data/reads/qc/J388a.fastq.gz	542348283	31
data/reads/qc/NE25953.fastq.gz	14609002	31
data/reads/qc/J394d.fastq.gz	503091425	31
data/reads/qc/J352i.fastq.gz	664926375	31
data/reads/qc/J377c.fastq.gz	632517319	31
data/reads/qc/blank_62.fastq.gz	10399382	31
data/reads/qc/J386d.fastq.gz	358627425	31
data/reads/qc/J349.fastq.gz	553152383	31
data/reads/qc/J385d.fastq.gz	521427800	31
data/reads/qc/J436f.fastq.gz	527422595	31
data/reads/qc/J377a.fastq.gz	492584508	31
data/reads/qc/J419f.fastq.gz	591052907	31
data/reads/qc/J367d.fastq.gz	668800867	31
data/reads/qc/J426c.fastq.gz	599822863	31
data/reads/qc/J385e.fastq.gz	524257276	31
data/reads/qc/J436c-rep.fastq.gz	418182601	31
data/reads/qc/J393i.fastq.gz	555701231	31
data/reads/qc/NE67754.fastq.gz	10191564	31
data/reads/qc/J388b.fastq.gz	604299942	31
data/reads/qc/J352f.fastq.gz	236379247	31
data/reads/qc/J382a.fastq.gz	542705990	31
data/reads/qc/blank_42.fastq.gz	26638928	31
data/reads/qc/J386c.fastq.gz	542762582	31
data/reads/qc/J359g.fastq.gz	577575824	31
data/reads/qc/J382i.fastq.gz	614598248	31
data/reads/qc/J411.fastq.gz	354841510	31
data/reads/qc/Blank_12.fastq.gz	36046403	31
data/reads/qc/J419g.fastq.gz	617752584	31
data/reads/qc/J361d.fastq.gz	531768649	31
data/reads/qc/J346.fastq.gz	859016913	31
data/reads/qc/J422e.fastq.gz	544499086	31
data/reads/qc/J385c.fastq.gz	565221545	31
data/reads/qc/J359b.fastq.gz	523107531	31
data/reads/qc/J355.fastq.gz	888606101	31
data/reads/qc/J382d.fastq.gz	588738950	31
data/reads/qc/J341c.fastq.gz	695550171	31
data/reads/qc/J428b.fastq.gz	537541364	31
data/reads/qc/J321g.fastq.gz	639873253	31
data/reads/qc/J385a.fastq.gz	543621302	31
data/reads/qc/NE35959.fastq.gz	13083136	31
data/reads/qc/J310.fastq.gz	667619515	31
data/reads/qc/J354.fastq.gz	731731507	31
data/reads/qc/J319.fastq.gz	481179460	31
data/reads/qc/J435g.fastq.gz	430254030	31
data/reads/qc/J333_plus.fastq.gz	750810490	31
data/reads/qc/J428e.fastq.gz	494877920	31
data/reads/qc/J377d.fastq.gz	589992978	31
data/reads/qc/J430h.fastq.gz	767898968	31
data/reads/qc/J376d.fastq.gz	576664985	31
data/reads/qc/J436.fastq.gz	625578400	31
data/reads/qc/J405h.fastq.gz	670083651	31
data/reads/qc/J435e.fastq.gz	578676089	31
data/reads/qc/J370.fastq.gz	598705863	31
data/reads/qc/blank_61.fastq.gz	8376732	31
data/reads/qc/J377e-rep.fastq.gz	437921181	31
data/reads/qc/J367c.fastq.gz	534900573	31
data/reads/qc/J418i.fastq.gz	551560383	31
data/reads/qc/J406g.fastq.gz	687367836	31
data/reads/qc/J425.fastq.gz	595319881	31
data/reads/qc/J417.fastq.gz	354023892	31
data/reads/qc/J352.fastq.gz	906516411	31
data/reads/qc/J408.fastq.gz	285042446	31
data/reads/qc/J349a.fastq.gz	668942985	31
data/reads/qc/J388d.fastq.gz	329652653	31
data/reads/qc/TLC715.fastq.gz	577268840	31
data/reads/qc/J433f.fastq.gz	572097892	31
data/reads/qc/J425f.fastq.gz	715195349	31
data/reads/qc/J401g.fastq.gz	631237743	31
data/reads/qc/J366.fastq.gz	857439565	31
data/reads/qc/J382f.fastq.gz	538861076	31
data/reads/qc/J369.fastq.gz	549608590	31
data/reads/qc/J406h.fastq.gz	677230466	31
data/reads/qc/J394c.fastq.gz	523924142	31
data/reads/qc/J345_plus.fastq.gz	692668230	31
data/reads/qc/J366_plus.fastq.gz	546248853	31
data/reads/qc/NE37169.fastq.gz	12643213	31
data/reads/qc/J361c.fastq.gz	603785755	31
data/reads/qc/J425b.fastq.gz	609115289	31
data/reads/qc/J374i.fastq.gz	487934774	31
data/reads/qc/J373.fastq.gz	582780267	31
data/reads/qc/J429d.fastq.gz	484282427	31
data/reads/qc/J341b.fastq.gz	564538366	31
data/reads/qc/J359d.fastq.gz	709802910	31
data/reads/qc/GH2.fastq.gz	620514809	31
data/reads/qc/J428c.fastq.gz	503989889	31
data/reads/qc/J405c.fastq.gz	450735335	31
data/reads/qc/NCD30.fastq.gz	237786232	31
