"","ID","SampleSet","Species","Location","Latitude","Longitude","SeedYesNo","SeedNotes","Sequenced"
"227","ENE0028","ENE","melliodora","Waterfall Way 2",-30.5173,151.97264,"No","",""
"228","ENE0035","ENE","melliodora","Waterfall Way 2",-30.51714,151.97287,"No","",""
"229","M1a","Jasmine","melliodora","Yeoval",NA,NA,"","","No"
"230","M1b","Jasmine","melliodora","Yeoval",NA,NA,"","","No"
"231","M1c","Jasmine","melliodora","Yeoval",NA,NA,"","","Yes"
"232","MelMosaic","Jasmine","melliodora","Yeoval",NA,NA,"","","Yes"
"233","wp502","TLC","sp. aff. magnificata","",NA,NA,"Yes","sieved in large paper bag  taxon written on envelope",""
"234","TLC737","TLC","sp. aff. magnificata","Cheadle Mtn",-30.84725096,151.861377,"No","  ",""
"235","TLC740","TLC","sp. aff. magnificata","Cheadle Mtn",-30.85452402,151.858459,"No","  ",""
"236","TLC910","TLC","sp. aff. magnificata","Cheadle Mtn",-30.86050501,151.891832,"No","  ",""
"237","TLC911","TLC","sp. aff. magnificata","Cheadle Mtn",-30.85228102,151.889532,"No","  ",""
"238","TLC912","TLC","sp. aff. magnificata","Cheadle Mtn",-30.85212604,151.889702,"No","  ",""
"239","TLC913","TLC","sp. aff. magnificata","Cheadle Mtn",-30.86284096,151.85684,"No","  ",""
"240","TLC738","TLC","sp. aff. magnificata","Cheadle Mtn",-30.85471898,151.858673,"Yes","sieved in box 7 packets in white paper bag",""
"241","TLC739","TLC","sp. aff. magnificata","Cheadle Mtn",-30.85471798,151.858588,"Yes","sieved in box ",""
"242","TLC908","TLC","sp. aff. magnificata","Cheadle Mtn",-30.86045003,151.891704,"Yes","sifted  ",""
"243","TLC909","TLC","sp. aff. magnificata","Cheadle Mtn",-30.86056503,151.891859,"Yes","sieved group paper bag in box ",""
"244","TLC914","TLC","sp. aff. magnificata","Cheyenne Station",-30.81462398,151.859377,"No","  ",""
"245","TLC915","TLC","sp. aff. magnificata","Cheyenne Station",-30.81471702,151.859337,"No","  ",""
"246","TLC946","TLC","sp. aff. magnificata","Henry River Falls",-29.84949804,152.001091,"Yes","sieved group paper bag in box ",""
"247","TLC947","TLC","sp. aff. magnificata","Henry River Falls",-29.84955001,152.001463,"Yes","sieved group paper bag in box ",""
"248","TLC948","TLC","sp. aff. magnificata","Henry River Falls",-29.84698003,152.010428,"Yes","sieved group paper bag in box ",""
"249","TLC949","TLC","sp. aff. magnificata","Henry River Falls",-29.845609,152.012508,"Yes","sieved group paper bag in box ",""
"250","TLC950","TLC","sp. aff. magnificata","Henry River Falls",-29.84570699,152.011747,"Yes","sieved group paper bag in box ",""
"251","ENE0006","ENE","sp. aff. magnificata","HRF1",-29.85115,152.00097,"No","no seeds in the capsule",""
"252","ENE0007","ENE","sp. aff. magnificata","HRF1",-29.8511,152.0091,"No","",""
"253","ENE0018","ENE","sp. aff. magnificata","HRF1",-29.84914,152.00543,"No","no seeds in the capsule",""
"254","ENE0019","ENE","sp. aff. magnificata","HRF1",-29.84908,152.00545,"No","no seeds in the capsule",""
"255","ENE0021","ENE","sp. aff. magnificata","HRF1",-29.84898,152.00569,"No","immature capsule to collect seeds",""
"256","ENE0022","ENE","sp. aff. magnificata","HRF1",-29.84899,152.00577,"No","immature capsule to collect seeds",""
"257","ENE0001","ENE","sp. aff. magnificata","HRF1",-29.84968,152.00146,"Yes","reasonable amount of seeds",""
"258","ENE0008","ENE","sp. aff. magnificata","HRF1",-29.85109,152.0009,"Yes","reasonable amount of seeds",""
"259","ENE0010","ENE","sp. aff. magnificata","HRF1",-29.85105,151.99956,"Yes","large quantity of seeds",""
"260","ENE0011","ENE","sp. aff. magnificata","HRF1",-29.85126,151.99948,"Yes","reasonable amount of seeds",""
"261","ENE0023","ENE","sp. aff. magnificata","HRF1",-29.84896,152.0058,"Yes","reasonable amount of seeds",""
