"ID","Species.orig","Latitude","Longitude","Location","Species"
"J395","Hybrid albens x microcarpa",-36.76884,144.07336,"Powers Rd, Woodstock on Loddon","Hybrid albens x microcarpa"
"J396","Eucalyptus odorata (?)",-36.81995,143.2767,"Teddington Rd, Stuart Mill","Eucalyptus odorata"
"J397","Eucalyptus leucoxylon",-37.28408,141.18732,"Dergholm State Park","Eucalyptus leucoxylon"
"J398","Eucalyptus leucoxylon",-37.22194,142.04807,"Cherrypool, Rockland Reservoir","Eucalyptus leucoxylon"
"J399","Eucalyptus leucoxylon",-37.1632,144.08661,"Castlemaine","Eucalyptus leucoxylon"
"TLC720","Eucalyptus conica",-29.06569,151.98833,"Tenterfield","Eucalyptus conica"
"TLC726","Eucalyptus conica",-30.28358,151.19619,"Abington","Eucalyptus conica"
"TLC775","Eucalyptus conica",-28.39502,151.31197,"Inglewood","Eucalyptus conica"
"TLC725","Eucalyptus conica",-29.60563,151.86797,"Dundee","Eucalyptus conica"
"TLC715","Eucalyptus conica",-28.68758,151.96238,"Storm King","Eucalyptus conica"
"J400","Eucalyptus moluccana",-30.44375,151.25961,"Torreyburn Rd, Yarrowyck","Eucalyptus moluccana"
"J401","Eucalyptus sideroxylon",-30.44023,151.25069,"Torreyburn Rd, Yarrowyck","Eucalyptus sideroxylon"
"J401F","Eucalyptus sideroxylon",-30.44089,151.25194,"Torreyburn Rd, Yarrowyck","Eucalyptus sideroxylon"
"J402","Eucalyptus caleyi",-30.04322,150.94122,"Bundarra Rd, Copeton","Eucalyptus caleyi"
"J403","Eucalyptus caleyi",-29.92441,150.93559,"Copeton Dam Rd","Eucalyptus caleyi"
"J404","Eucalyptus caleyi",-29.98952,150.85857,"Copeton Dam Rd","Eucalyptus caleyi"
"J405","Eucalyptus sideroxylon",-30.22862,151.23865,"Baldersleigh Rd","Eucalyptus sideroxylon"
"J406","Eucalyptus albens",-30.23707,151.252,"Baldersleigh Rd, The Basin","Eucalyptus albens"
"J407","Eucalyptus fibrosa",-30.05045,152.63814,"Nymboidea","Eucalyptus fibrosa"
"J408","Eucalptus crebra",-29.92432,152.75188,"Nymboidea","Eucalyptus crebra"
"J409","Eucalyptus fibrosa",-29.92485,152.75122,"Nymboidea","Eucalyptus fibrosa"
"J410","Eucalyptus crebra",-29.69687,152.10593,"Old Grafton Rd, Gibraltar","Eucalyptus crebra"
"J411","Eucalyptus fibrosa",-29.69674,152.10576,"Old Grafton Rd, Gibraltar","Eucalyptus fibrosa"
"J412","Eucalyptus moluccana",-30.96459,150.84267,"Appleby Rd, Moonbi","Eucalyptus moluccana"
"J413","Eucalyptus albens",-30.70737,150.09621,"Boggabri - private land","Eucalyptus albens"
"J414","Eucalyptus albens",-30.49283,149.94203,"Narrabri","Eucalyptus albens"
"J415","Eucalyptus crebra",-30.24,149.88559,"Killarney Forest, Narrabri","Eucalyptus crebra"
"J416","Eucalyptus sideroxylon",-30.32322,149.26971,"Weewaa","Eucalyptus sideroxylon"
"J417","Eucalyptus crebra",-30.32377,149.26567,"Weewaa","Eucalyptus crebra"
"J418","Eucalyptus sideroxylon",-31.05012,149.23013,"The Pilliga","Eucalyptus sideroxylon"
"J419","Eucalyptus albens",-31.35926,148.93951,"Warrumbungle","Eucalyptus albens"
"J420","Eucalyptus moluccana",-31.35926,148.93951,"Warrumbungle","Eucalyptus moluccana"
"J421","Eucalyptus sideroxylon",-32.36597,148.23103,"Narromine","Eucalyptus sideroxylon"
"J422","Eucalyptus sideroxylon",-32.22311,148.66797,"Dubbo","Eucalyptus sideroxylon"
"J423","Eucalyptus moluccana",-31.82373,149.68475,"Coolah","Eucalyptus moluccana"
