"sample","reads","bases","perc_gc","non_acgt","coverage","unique_kmers","kmersize"
"J361i",18309092,2678073801,41.1,14407,4.1844903140625,780381948,31
"J362b",14508994,2139183314,41,10589,3.342473928125,634507473,31
"J367a",9985724,1479213535,40.5,4661,2.3112711484375,497950797,31
"J365",13843796,2047964567,39.6,7292,3.1999446359375,605391084,31
"J366_plus",11471646,1699305969,39.9,4651,2.6551655765625,546248853,31
"J363_plus",15960450,2362604630,40.2,15008,3.691569734375,640997019,31
"J367c",10493822,1553051089,40.5,10681,2.4266423265625,534900573,31
"J361",33758318,4979169796,40.1,31377,7.77995280625,975966476,31
"J364",20228146,2992296868,39.7,15159,4.67546385625,868651670,31
"J367e",12302240,1822648196,40.6,5374,2.84788780625,564287693,31
"J367g",11842128,1751432413,40.5,10835,2.7366131453125,549357199,31
"J367d",14630792,2169047092,41.1,14024,3.38913608125,668800867,31
"J366",20402774,3023943469,40,16155,4.7249116703125,857439565,31
"J367b",17996976,2652317830,40.8,13538,4.144246609375,687688431,31
"J368",9637598,1420985488,39.8,8846,2.220289825,498523625,31
"J367f",12824950,1903027132,40.7,11040,2.97347989375,594669039,31
"J363",25116648,3717660381,40.5,21745,5.8088443453125,908939742,31
"J369",11630470,1718267198,40.1,10176,2.684792496875,549608590,31
"J370",12004054,1778688461,39.6,11160,2.7792007203125,598705863,31
"J367h",15135404,2235765421,40.5,11566,3.4933834703125,693816470,31
"J367",25449070,3769949635,40.1,18425,5.8905463046875,889117576,31
"J371",14079056,2084269974,39.7,8514,3.256671834375,628771644,31
"J375-rep1",2375110,351500814,39.2,1713,0.549220021875,185442181,31
"J374c",8535726,1257059977,40.5,3986,1.9641562140625,445983756,31
"J373",12959680,1923185832,39.7,7583,3.0049778625,582780267,31
"J372",16468820,2438502868,39.7,12455,3.81016073125,652307461,31
"J374a",11768952,1734543851,40.4,11592,2.7102247671875,549264672,31
"J374b",11412464,1684766482,40.7,10762,2.632447628125,556445590,31
"J374d",10728406,1580124873,40.3,9946,2.4689451140625,510197409,31
"J374g",10232540,1507783789,39.6,10315,2.3559121703125,500204721,31
"J374h",10920858,1609483665,40.2,9952,2.5148182265625,520456663,31
"J374i",10013100,1475355373,40.4,10217,2.3052427703125,487934774,31
"J374e",13557750,1995602833,40.9,12292,3.1181294265625,619420566,31
"J374f",13272592,1956993948,40.9,12583,3.05780304375,602654415,31
"J367i",25049342,3695151991,40.4,21986,5.7736749859375,1007285363,31
"J376a-rep",11222528,1651556776,40.4,10084,2.5805574625,530187910,31
"J376a",10908080,1607584673,40.2,10915,2.5118510515625,505350537,31
"J375",15069458,2235471146,39.8,11700,3.492923665625,651210641,31
"J376b",11512134,1694210951,41.3,7496,2.6472046109375,605182894,31
"J374",23845110,3517298686,40.6,19323,5.495779196875,804760814,31
"J376f",9945322,1465050282,40.8,5181,2.289141065625,483521671,31
"J376g",9065346,1322201841,39.6,8551,2.0659403765625,445488890,31
"J376d",12044890,1772943256,41.1,11041,2.7702238375,576664985,31
"J376c",13323018,1965115378,40.6,12914,3.070492778125,593407636,31
"J376",18898040,2778513694,40.5,17233,4.341427646875,770547442,31
"J376e",14089196,2078280443,40.9,12898,3.2473131921875,640071035,31
"J377a",10387822,1530332261,40.6,5386,2.3911441578125,492584508,31
"J377",11684392,1726286128,41,7592,2.697322075,644550294,31
"J376h",14598132,2151260804,40.9,14403,3.36134500625,603442196,31
"J376i",14476478,2138161675,40.8,13711,3.3408776171875,626902374,31
"J377e-rep",8371872,1233185155,40.5,4232,1.9268518046875,437921181,31
"J377b",14273954,2102974031,40.9,13320,3.2858969234375,647466299,31
"J377e",9840978,1448023219,40.5,5723,2.2625362796875,477099095,31
"J377g",9871834,1451322545,40.1,9027,2.2676914765625,492081002,31
"J377c",14009292,2063070480,41.1,13225,3.223547625,632517319,31
"J377d",13989606,2060333021,40.6,14497,3.2192703453125,589992978,31
"J377i",9017842,1336521631,40.7,5250,2.0883150484375,562232159,31
"J377h",11457640,1686927726,40.4,11048,2.635824571875,522234730,31
"J381",10511004,1549886244,39.4,10295,2.42169725625,517588796,31
"J382a",11687372,1728538364,40.6,5982,2.70084119375,542705990,31
"J379",13674538,2010360198,40,12304,3.141187809375,610913410,31
"J382d",13067154,1933516436,41.3,8825,3.02111943125,588738950,31
"J382b",14082332,2079766095,40.9,12583,3.2496345234375,610860990,31
"J382f",11014250,1628851542,41.2,7479,2.545080534375,538861076,31
"J382c",13791738,2035255812,41.4,8845,3.18008720625,591146587,31
"J382e",13118216,1921173888,40.7,12889,3.0018342,602321683,31
"J382g",14011940,2071309086,41.1,8805,3.236420446875,607024479,31
"J383",9507768,1399887237,39.4,10257,2.1873238078125,491098550,31
"J382h",13586072,2006549153,41,9313,3.1352330515625,593191537,31
"J382i",14342146,2118088119,41,8069,3.3095126859375,614598248,31
"J385a",12082700,1785178071,40.7,12323,2.7893407359375,543621302,31
"J385c",12373874,1829603713,40.7,12110,2.8587558015625,565221545,31
"J385d",10859822,1608513544,40.5,5520,2.5133024125,521427800,31
"J385b",12015132,1775350148,40.1,11701,2.77398460625,544252198,31
"J385e",11105892,1640300567,40.6,5336,2.5629696359375,524257276,31
"J386",8744746,1291111823,41.4,6252,2.0173622234375,460273018,31
"J386d",6271758,904240722,39.2,6589,1.412876128125,358627425,31
"J386e",5866432,855689703,39.5,5642,1.3370151609375,345038908,31
"J385g",13236404,1957514098,40.7,12843,3.058615778125,595186763,31
"J385f",13845714,2043777925,41.3,11553,3.1934030078125,646425710,31
"J385i",13156914,1929597866,40.6,7997,3.014996665625,566630433,31
"J385h",14333998,2113719979,40.2,10801,3.3026874671875,615149552,31
"J386c",11063476,1635299992,41.3,11467,2.5551562375,542762582,31
"J386i",7206428,1047089620,40.5,7359,1.63607753125,407657196,31
"J386b",11801098,1740222227,41.5,11016,2.7190972296875,559867943,31
"J386a",13178056,1940351636,40.9,9274,3.03179943125,651670047,31
"J386g",8275944,1233857778,39.9,4362,1.927902778125,590927294,31
"J386f",9856000,1463648240,40.1,6410,2.286950375,600857280,31
"J388",4663262,679257888,39.5,5008,1.06134045,289674830,31
"J385",28426756,4186643597,40.2,28148,6.5416306203125,891191558,31
"J386h",15211780,2244576234,41.2,13427,3.507150365625,658541233,31
"J387c",11354372,1680196463,40.5,11484,2.6253069734375,531711112,31
"J387i",8904520,1315758580,40.7,4272,2.05587278125,455405618,31
"J387a",12970400,1918064576,40.7,12827,2.9969759,606596060,31
"J387f",10423240,1541616375,40.4,9698,2.4087755859375,505317022,31
"J388c",5638902,815837701,40.3,6113,1.2747464078125,326462960,31
"J387g",11675628,1723342324,40.6,9602,2.69272238125,569572637,31
"J388d",5495046,801123565,39.9,5047,1.2517555703125,329652653,31
