"sample","yield.mb","read.num","coverage"
"J385-rep_S311",1902,6298729,2.971875
"J385-rep_S355",2264,7495014,3.5375
"J385-rep_S434",1395,4618941,2.1796875
"J385a",1825,6041350,2.8515625
"J385b",1814,6007566,2.834375
"J385c",1868,6186937,2.91875
"J385d",1640,5429911,2.5625
"J385e",1677,5552946,2.6203125
"J385f",2090,6922857,3.265625
"J385g",1999,6618202,3.1234375
"J385h",2164,7166999,3.38125
"J385i",1987,6578457,3.1046875
"J386",1321,4372373,2.0640625
"J386a",1990,6589028,3.109375
"J386b",1782,5900549,2.784375
"J386c",1670,5531738,2.609375
"J386d",947,3135879,1.4796875
"J386e",886,2933216,1.384375
"J386f",1488,4928000,2.325
"J386g",1249,4137972,1.9515625
"J386h",2297,7605890,3.5890625
"J386i",1088,3603214,1.7
"J387_S274",1576,5216575,2.4625
"J387_S35",1441,4773168,2.2515625
"J387a",1959,6485200,3.0609375
"J387b",2330,7713435,3.640625
"J387c",1715,5677186,2.6796875
"J387d",2127,7044046,3.3234375
"J387e",1872,6198676,2.925
"J387f",1574,5211620,2.459375
"J387g",1763,5837814,2.7546875
"J387h",1842,6099448,2.878125
"J387i",1345,4452260,2.1015625
"J388",704,2331631,1.1
"J388a",1732,5736286,2.70625
"J388b",1773,5869956,2.7703125
"J388c",851,2819451,1.3296875
"J388d",830,2747523,1.296875
"J388e",1899,6287361,2.9671875
"J388f",2121,7022848,3.3140625
"J388g",1576,5218278,2.4625
"J388h",1499,4961092,2.3421875
"J388i",1831,6060160,2.8609375
"J389",1459,4829155,2.2796875
"J390",2012,6664974,3.14375
"J390a",1120,3708106,1.75
"J390a-rep",985,3263483,1.5390625
"J390b",637,2108727,0.9953125
"J392",1027,3400132,1.6046875
"J393_S295",2000,6621099,3.125
"J393_S72",1434,4748773,2.240625
"J393a",1463,4844221,2.2859375
"J393b",764,2527582,1.19375
"J393c",1673,5540061,2.6140625
"J393d",1946,6445091,3.040625
"J393e",2227,7374123,3.4796875
"J393f",1498,4960612,2.340625
"J393g",1594,5278278,2.490625
"J393h",1544,5112088,2.4125
"J393i",1730,5731150,2.703125
"J394",1528,5060129,2.3875
"J394a",977,3235796,1.5265625
"J394b",1908,6316345,2.98125
"J394c",1422,4705643,2.221875
"J394d",1583,5243489,2.4734375
"J394e",1699,5626243,2.6546875
"J394f",1802,5968221,2.815625
"J394g",2001,6626955,3.1265625
"J395_S32",1301,4308126,2.0328125
"J395_S491",920,3045903,1.4375
"J395A",1889,6256577,2.9515625
"J395B",1873,6202226,2.9265625
"J395C",1842,6098015,2.878125
"J395D",1795,5942210,2.8046875
"J395E",1804,5973605,2.81875
"J395H",1730,5727709,2.703125
"J397",237,785476,0.3703125
"J398",1210,4006940,1.890625
"J399",805,2663786,1.2578125
"J400",643,2131236,1.0046875
"J401",1420,4701579,2.21875
"J401a",2224,7366061,3.475
"J401b",1947,6444943,3.0421875
"J401c",2244,7428062,3.50625
"J401d",1659,5494549,2.5921875
"J401e",2195,7267122,3.4296875
"J401f",2335,7734407,3.6484375
"J401g",2104,6968022,3.2875
"J401h",2264,7497558,3.5375
"J402",655,2168256,1.0234375
"J403",570,1887605,0.890625
"J404",929,3075946,1.4515625
"J405",1090,3608253,1.703125
"J405a",2311,7651488,3.6109375
"J405b",1678,5558154,2.621875
"J405c",1341,4441721,2.0953125
"J405d",2450,8112992,3.828125
"J405e",2289,7581483,3.5765625
"J405f",1618,5358989,2.528125
"J405g",1186,3928198,1.853125
"J405h",2328,7708081,3.6375
"J405i",1845,6107797,2.8828125
"J406",1070,3546106,1.671875
"J406a",796,2635365,1.24375
"J406b",2038,6747215,3.184375
"J406c",1964,6503307,3.06875
"J406d",1927,6381040,3.0109375
"J406e",639,2115899,0.9984375
"J406f",2424,8027115,3.7875
"J406g",2653,8787290,4.1453125
"J406h",2348,7776038,3.66875
"J406i",2453,8121055,3.8328125
"J407",1131,3741928,1.7671875
"J408",673,2225879,1.0515625
"J411",904,2993460,1.4125
"J412",944,3125876,1.475
"J413_S100",553,1832321,0.8640625
"J413_S438",1972,6528171,3.08125
"J413a",1232,4080689,1.925
"J413c",1837,6081919,2.8703125
"J413f",2090,6918964,3.265625
"J414_S376",2756,9123598,4.30625
"J414_S98",284,939686,0.44375
"J414a",1128,3735199,1.7625
"J414b",2022,6694175,3.159375
"J414c",2549,8439556,3.9828125
"J416_S125",1027,3403153,1.6046875
"J416_S418",734,2430835,1.146875
"J416a",2076,6876509,3.24375
"J416b",868,2872530,1.35625
"J416c",499,1652325,0.7796875
"J416d",1618,5354667,2.528125
"J416e",1944,6435699,3.0375
"J416f",1593,5276097,2.4890625
"J416g",1858,6151967,2.903125
"J416h",1896,6277737,2.9625
"J416i",1854,6139362,2.896875
"J417",925,3060360,1.4453125
"J418_S137",1087,3601756,1.6984375
"J418_S425",2119,7015159,3.3109375
"J418a",1131,3744518,1.7671875
"J418b",2477,8200021,3.8703125
"J418c",1958,6485329,3.059375
"J418e",1071,3546421,1.6734375
"J418g",1746,5782236,2.728125
"J418h",868,2875148,1.35625
"J418i",1765,5845461,2.7578125
"J419_S122",232,766927,0.3625
"J419_S397",2395,7930625,3.7421875
"J419a",2197,7275300,3.4328125
"J419b",2519,8343296,3.9359375
"J419c",2020,6690493,3.15625
"J419d",1968,6517189,3.075
"J419e",1058,3505895,1.653125
"J419f",1870,6192384,2.921875
"J419g",2077,6879129,3.2453125
"J419h",1969,6517289,3.0765625
